weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3333, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3334, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3334, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3334, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3334, 0.3333], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3333, 0.3334, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3332, 0.3334, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3332, 0.3334, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3332, 0.3334, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3332, 0.3335, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3331, 0.3335, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3331, 0.3335, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3330, 0.3335, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3330, 0.3336, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3330, 0.3336, 0.3334], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3329, 0.3336, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3329, 0.3336, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3329, 0.3337, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3328, 0.3337, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3328, 0.3337, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3328, 0.3337, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3328, 0.3337, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3327, 0.3338, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3327, 0.3338, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3327, 0.3338, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3327, 0.3338, 0.3335], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3327, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3326, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3336], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3337], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3325, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
weight    tensor([0.3324, 0.3338, 0.3338], device='cuda:0', grad_fn=<SoftmaxBackward>)
